ENUM_ID	ID_VALUE	ID_STR	STR LENGTH	duplicate ID
STR_ID_UMMS_NEW_MMS_FROM_SIM4	15657	?	4	STR_ID_APP_MRE
STR_DEF_ENCODING_TYPE_UCS2	25702	UCS2	10	
STR_DEF_ENCODING_TYPE_ASCII	25703	ASCII	12	
STR_DEF_ENCODING_TYPE_UTF_8	25704	UTF-8	12	
STR_DEF_ENCODING_TYPE_UTF_16LE	25705	UTF-16LE	18	
STR_DEF_ENCODING_TYPE_UTF_16BE	25706	UTF-16BE	18	
STR_DEF_ENCODING_TYPE_WINDOWS_1252	25707	Windows-1252	26	
STR_DEF_ENCODING_TYPE_GB18030	25708	GB18030	16	
STR_PLMN_NAME_1	26365	China Mobile	26	
STR_PLMN_NAME_2	26366	China Unicom	26	
STR_PLMN_NAME_3	26367	FarEasTone	22	
STR_PLMN_NAME_4	26368	KG Telecom	22	
STR_PLMN_NAME_5	26369	VIBO	10	
STR_PLMN_NAME_6	26370	ChungHwa	18	
STR_PLMN_NAME_7	26371	MobiTai	16	
STR_PLMN_NAME_8	26372	Taiwan Mobile	28	
STR_PLMN_NAME_9	26373	TransAsia	20	
STR_PLMN_NAME_10	26374	CSL	8	
STR_PLMN_NAME_11	26375	3 HK	10	
STR_PLMN_NAME_12	26376	SmarToneVodafone	34	
STR_PLMN_NAME_13	26377	New World	20	
STR_PLMN_NAME_14	26378	CMCC	10	
STR_PLMN_NAME_15	26379	SmarToneVodafone	34	STR_PLMN_NAME_12
STR_PLMN_NAME_16	26380	PCCW	10	
STR_PLMN_NAME_17	26381	SmarToneVodafone	34	STR_PLMN_NAME_12
STR_PLMN_NAME_18	26382	CTM	8	
STR_PLMN_NAME_19	26383	3 Macau	16	
STR_PLMN_NAME_20	26384	Vodafone	18	
STR_PLMN_NAME_21	26385	Airtel	14	
STR_PLMN_NAME_22	26386	IDEA	10	
STR_PLMN_NAME_23	26387	Spice	12	
STR_PLMN_NAME_24	26388	Aircel	14	
STR_PLMN_NAME_25	26389	Reliance	18	
STR_PLMN_NAME_26	26390	BPL MOBILE	22	
STR_PLMN_NAME_27	26391	CellOne	16	
STR_PLMN_NAME_28	26392	Dolphin	16	
STR_PLMN_NAME_29	26393	Oasis	12	
STR_PLMN_NAME_30	26394	IND TATA	18	
STR_PLMN_NAME_31	26395	Etisalat	18	
STR_PLMN_NAME_32	26396	AWCC	10	
STR_PLMN_NAME_33	26397	Roshan	14	
STR_PLMN_NAME_34	26398	Areeba	14	
STR_PLMN_NAME_35	26399	Etisalat Af	24	
STR_PLMN_NAME_36	26400	GramenPhone	24	
STR_PLMN_NAME_37	26401	AKTel	12	
STR_PLMN_NAME_38	26402	Banglalink	22	
STR_PLMN_NAME_39	26403	Teletalk	18	
STR_PLMN_NAME_40	26404	Warid Telecom	28	
STR_PLMN_NAME_41	26405	BATELCO	16	
STR_PLMN_NAME_42	26406	zain BH	16	
STR_PLMN_NAME_43	26407	B-Mobile	18	
STR_PLMN_NAME_44	26408	TashiCell	20	
STR_PLMN_NAME_45	26409	DSTCom	14	
STR_PLMN_NAME_46	26410	MOBITEL - KHM	28	
STR_PLMN_NAME_47	26411	hello	12	
STR_PLMN_NAME_48	26412	CADCOMMS	18	
STR_PLMN_NAME_49	26413	STARCELL	18	
STR_PLMN_NAME_50	26414	CAMSHIN	16	
STR_PLMN_NAME_51	26415	TLS-TT	14	
STR_PLMN_NAME_52	26416	INDOSAT	16	
STR_PLMN_NAME_53	26417	axis	10	
STR_PLMN_NAME_54	26418	Telkomsel	20	
STR_PLMN_NAME_55	26419	XL	6	
STR_PLMN_NAME_56	26420	3	4	STR_GLOBAL_3
STR_PLMN_NAME_57	26421	MCI	8	
STR_PLMN_NAME_58	26422	KISH	10	
STR_PLMN_NAME_59	26423	MTCE	10	
STR_PLMN_NAME_60	26424	Taliya	14	
STR_PLMN_NAME_61	26425	IranCell	18	
STR_PLMN_NAME_62	26426	ASIACELL	18	
STR_PLMN_NAME_63	26427	zain IQ	16	
STR_PLMN_NAME_64	26428	Orange	14	
STR_PLMN_NAME_65	26429	Cellcom	16	
STR_PLMN_NAME_66	26430	Pelephone	20	
STR_PLMN_NAME_67	26431	eMobile	16	
STR_PLMN_NAME_68	26432	NTT DoCoMo	22	
STR_PLMN_NAME_69	26433	Softbank	18	
STR_PLMN_NAME_70	26434	zain JO	16	
STR_PLMN_NAME_71	26435	Umniah	14	
STR_PLMN_NAME_72	26436	Orange JO	20	
STR_PLMN_NAME_73	26437	KTF	8	
STR_PLMN_NAME_74	26438	SK Telecom	22	
STR_PLMN_NAME_75	26439	zain KW	16	
STR_PLMN_NAME_76	26440	Wataniya	18	
STR_PLMN_NAME_77	26441	BITEL	12	
STR_PLMN_NAME_78	26442	MEGACOM	16	
STR_PLMN_NAME_79	26443	LAO GSM	16	
STR_PLMN_NAME_80	26444	ETL	8	
STR_PLMN_NAME_81	26445	LAO-ASIA	18	
STR_PLMN_NAME_82	26446	TANGO LAO	20	
STR_PLMN_NAME_83	26447	Alfa	10	
STR_PLMN_NAME_84	26448	MY MAXIS	18	
STR_PLMN_NAME_85	26449	MY CELCOM 3G	26	
STR_PLMN_NAME_86	26450	DiGi	10	
STR_PLMN_NAME_87	26451	U MOBILE	18	
STR_PLMN_NAME_88	26452	MY CELCOM	20	
STR_PLMN_NAME_89	26453	Dhiraagu	18	
STR_PLMN_NAME_90	26454	WMOBILE	16	
STR_PLMN_NAME_91	26455	Unitel	14	
STR_PLMN_NAME_92	26456	MobiCom	16	
STR_PLMN_NAME_93	26457	MPT	8	
STR_PLMN_NAME_94	26458	NTC	8	
STR_PLMN_NAME_95	26459	Mero Mobile	24	
STR_PLMN_NAME_96	26460	OMAN MOBILE	24	
STR_PLMN_NAME_97	26461	nawras	14	
STR_PLMN_NAME_98	26462	Mobilink	18	
STR_PLMN_NAME_99	26463	PK-UFONE	18	
STR_PLMN_NAME_100	26464	ZONG	10	
STR_PLMN_NAME_101	26465	Telenor PK	22	
STR_PLMN_NAME_102	26466	WaridTel	18	
STR_PLMN_NAME_103	26467	ISLACOM	16	
STR_PLMN_NAME_104	26468	Globe Telecom	28	
STR_PLMN_NAME_105	26469	SMART	12	
STR_PLMN_NAME_106	26470	Sun Cellular	26	
STR_PLMN_NAME_107	26471	Red Mobile	22	
STR_PLMN_NAME_108	26472	Qat-Qtel	18	
STR_PLMN_NAME_109	26473	STC	8	
STR_PLMN_NAME_110	26474	mobily	14	
STR_PLMN_NAME_111	26475	SingTel	16	
STR_PLMN_NAME_112	26476	M1	6	
STR_PLMN_NAME_113	26477	SSTARHUB	18	
STR_PLMN_NAME_114	26478	Mobitel	16	
STR_PLMN_NAME_115	26479	SRI DIALOG	22	
STR_PLMN_NAME_116	26480	SRI - Tigo	22	
STR_PLMN_NAME_117	26481	SIR AIRTEL	22	
STR_PLMN_NAME_118	26482	Hutch	12	
STR_PLMN_NAME_119	26483	SyriaTel	18	
STR_PLMN_NAME_120	26484	Somoncom	18	
STR_PLMN_NAME_121	26485	INDIGO-T	18	
STR_PLMN_NAME_122	26486	MLT	8	
STR_PLMN_NAME_123	26487	Babilon	16	
STR_PLMN_NAME_124	26488	Beeline	16	
STR_PLMN_NAME_125	26489	AIS GSM	16	
STR_PLMN_NAME_126	26490	TRUE	10	
STR_PLMN_NAME_127	26491	TOT	8	
STR_PLMN_NAME_128	26492	DTAC	10	
STR_PLMN_NAME_129	26493	TH GSM 1800	24	
STR_PLMN_NAME_130	26494	Turkcell	18	
STR_PLMN_NAME_131	26495	VODAFONE TR	24	
STR_PLMN_NAME_132	26496	AVEA	10	
STR_PLMN_NAME_133	26497	du	6	
STR_PLMN_NAME_134	26498	Mobifone	18	
STR_PLMN_NAME_135	26499	VINAPHONE	20	
STR_PLMN_NAME_136	26500	Viettel	16	
STR_PLMN_NAME_137	26501	SabaFon	16	
STR_PLMN_NAME_138	26502	MTN	8	
STR_PLMN_NAME_139	26503	AMC - AL	18	
STR_PLMN_NAME_140	26504	vodafone AL	24	
STR_PLMN_NAME_141	26505	EAGLE AL	18	
STR_PLMN_NAME_142	26506	MOBILAND	18	
STR_PLMN_NAME_143	26507	Beeline AM	22	
STR_PLMN_NAME_144	26508	ARM MTS	16	
STR_PLMN_NAME_145	26509	A1	6	
STR_PLMN_NAME_146	26510	T-Mobile A	22	
STR_PLMN_NAME_147	26511	Orange AT	20	
STR_PLMN_NAME_148	26512	telering	18	
STR_PLMN_NAME_149	26513	3 AT	10	
STR_PLMN_NAME_150	26514	AZE ACELL	20	
STR_PLMN_NAME_151	26515	AZE BKCELL	22	
STR_PLMN_NAME_152	26516	Nar	8	
STR_PLMN_NAME_153	26517	Velcom	14	
STR_PLMN_NAME_154	26518	MTS	8	
STR_PLMN_NAME_155	26519	Best	10	
STR_PLMN_NAME_156	26520	Proximus	18	
STR_PLMN_NAME_157	26521	Mobistar	18	
STR_PLMN_NAME_158	26522	BASE	10	
STR_PLMN_NAME_159	26523	Eronet	14	
STR_PLMN_NAME_160	26524	m:tel	12	
STR_PLMN_NAME_161	26525	BH Mobile	20	
STR_PLMN_NAME_162	26526	M-Tel BG	18	
STR_PLMN_NAME_163	26527	vivatel	16	
STR_PLMN_NAME_164	26528	BG GLOBUL	20	
STR_PLMN_NAME_165	26529	T-Mobile	18	
STR_PLMN_NAME_166	26530	TELE2	12	
STR_PLMN_NAME_167	26531	VIPnet	14	
STR_PLMN_NAME_168	26532	CYTAVODA	18	
STR_PLMN_NAME_169	26533	T-Mobile CZ	24	
STR_PLMN_NAME_170	26534	O2 CZ	12	
STR_PLMN_NAME_171	26535	Vodafone CZ	24	
STR_PLMN_NAME_172	26536	TDC MOBIL	20	
STR_PLMN_NAME_173	26537	Sonofon	16	
STR_PLMN_NAME_174	26538	3 DK	10	
STR_PLMN_NAME_175	26539	TELIA DK	18	
STR_PLMN_NAME_176	26540	EE EMT	14	
STR_PLMN_NAME_177	26541	EE elisa	18	
STR_PLMN_NAME_178	26542	Føroya Tele	24	
STR_PLMN_NAME_179	26543	KALL	10	
STR_PLMN_NAME_180	26544	DNA	8	
STR_PLMN_NAME_181	26545	FI Elisa	18	
STR_PLMN_NAME_182	26546	FI AMT	14	
STR_PLMN_NAME_183	26547	FI SONERA	20	
STR_PLMN_NAME_184	26548	Orange F	18	
STR_PLMN_NAME_185	26549	SFR FR	14	
STR_PLMN_NAME_186	26550	Bouygues FR	24	
STR_PLMN_NAME_187	26551	GCELL	12	
STR_PLMN_NAME_188	26552	MAGTI	12	
STR_PLMN_NAME_189	26553	T-Mobile D	22	
STR_PLMN_NAME_190	26554	Vodafone.de	24	
STR_PLMN_NAME_191	26555	E-Plus	14	
STR_PLMN_NAME_192	26556	O2-de	12	
STR_PLMN_NAME_193	26557	GIBTEL	14	
STR_PLMN_NAME_194	26558	COSMOTE GR	22	
STR_PLMN_NAME_195	26559	vodafone GR	24	
STR_PLMN_NAME_196	26560	WIND GR	16	
STR_PLMN_NAME_197	26561	TELE GRL	18	
STR_PLMN_NAME_198	26562	H pannon	18	
STR_PLMN_NAME_199	26563	T-Mobile H	22	
STR_PLMN_NAME_200	26564	vodafone HU	24	
STR_PLMN_NAME_201	26565	Siminn	14	
STR_PLMN_NAME_202	26566	Viking	14	
STR_PLMN_NAME_203	26567	IceCell	16	
STR_PLMN_NAME_204	26568	On-waves	18	
STR_PLMN_NAME_205	26569	NOVA	10	
STR_PLMN_NAME_206	26570	vodafone IRL	26	
STR_PLMN_NAME_207	26571	O2 IRL	14	
STR_PLMN_NAME_208	26572	METEOR IRL	22	
STR_PLMN_NAME_209	26573	3 IRL	12	
STR_PLMN_NAME_210	26574	TIM IT	14	
STR_PLMN_NAME_211	26575	vodafone IT	24	
STR_PLMN_NAME_212	26576	WIND IT	16	
STR_PLMN_NAME_213	26577	3 IT	10	
STR_PLMN_NAME_214	26578	Beeline KZ	22	
STR_PLMN_NAME_215	26579	KCELL KZ	18	
STR_PLMN_NAME_216	26580	NEO KZ	14	
STR_PLMN_NAME_217	26581	LMT LV	14	
STR_PLMN_NAME_218	26582	TELE2 LV	18	
STR_PLMN_NAME_219	26583	BITE LV	16	
STR_PLMN_NAME_220	26584	SwisscomFL	22	
STR_PLMN_NAME_221	26585	Orange FL	20	
STR_PLMN_NAME_222	26586	FL1	8	
STR_PLMN_NAME_223	26587	LI TANGO	18	
STR_PLMN_NAME_224	26588	OMNITEL LT	22	
STR_PLMN_NAME_225	26589	LT BITE GSM	24	
STR_PLMN_NAME_226	26590	L LUXGSM	18	
STR_PLMN_NAME_227	26591	L TANGO	16	
STR_PLMN_NAME_228	26592	L VOX	12	
STR_PLMN_NAME_229	26593	T-Mobile MK	24	
STR_PLMN_NAME_230	26594	COSMOFON MKD	26	
STR_PLMN_NAME_231	26595	Vip MKD	16	
STR_PLMN_NAME_232	26596	vodafone MT	24	
STR_PLMN_NAME_233	26597	go mobile	20	
STR_PLMN_NAME_234	26598	3GT MT	14	
STR_PLMN_NAME_235	26599	Orange MD	20	
STR_PLMN_NAME_236	26600	MOLDCELL MD	24	
STR_PLMN_NAME_237	26601	EVENTIS MD	22	
STR_PLMN_NAME_238	26602	Vodafone NL	24	
STR_PLMN_NAME_239	26603	KPN NL	14	
STR_PLMN_NAME_240	26604	Telfort NL	22	
STR_PLMN_NAME_241	26605	T-Mobile NL	24	
STR_PLMN_NAME_242	26606	Orange NL	20	
STR_PLMN_NAME_243	26607	N Telenor	20	
STR_PLMN_NAME_244	26608	N NetCom	18	
STR_PLMN_NAME_245	26609	MTU	8	
STR_PLMN_NAME_246	26610	Mobile Norway	28	
STR_PLMN_NAME_247	26611	Plus	10	
STR_PLMN_NAME_248	26612	Era	8	
STR_PLMN_NAME_249	26613	Orange PL	20	
STR_PLMN_NAME_250	26614	Play	10	
STR_PLMN_NAME_251	26615	Aero 2 Sp. z o.o.	36	
STR_PLMN_NAME_252	26616	vodafone P	22	
STR_PLMN_NAME_253	26617	Optimus P	20	
STR_PLMN_NAME_254	26618	TMN P	12	
STR_PLMN_NAME_255	26619	RO Vodafone	24	
STR_PLMN_NAME_256	26620	RO COSMOTE	22	
STR_PLMN_NAME_257	26621	RO DigiMobil	26	
STR_PLMN_NAME_258	26622	RO ORANGE	20	
STR_PLMN_NAME_259	26623	MTS RUS	16	
STR_PLMN_NAME_260	26624	MegaFon RUS	24	
STR_PLMN_NAME_261	26625	SCN RUS	16	
STR_PLMN_NAME_262	26626	STC RUS	16	
STR_PLMN_NAME_263	26627	BMT RUS	16	
STR_PLMN_NAME_264	26628	DTC RUS	16	
STR_PLMN_NAME_265	26629	AKOS RUS	18	
STR_PLMN_NAME_266	26630	Kuban RUS	20	
STR_PLMN_NAME_267	26631	SMARTS RUS	22	
STR_PLMN_NAME_268	26632	NTC RUS	16	
STR_PLMN_NAME_269	26633	Utel RUS	18	
STR_PLMN_NAME_270	26634	INDIGO RUS	22	
STR_PLMN_NAME_271	26635	TELE2 RUS	20	
STR_PLMN_NAME_272	26636	Beeline RUS	24	
STR_PLMN_NAME_273	26637	MOTIV RUS	20	
STR_PLMN_NAME_274	26638	Telenor	16	
STR_PLMN_NAME_275	26639	ProMonte	18	
STR_PLMN_NAME_276	26640	mt:s	10	
STR_PLMN_NAME_277	26641	T-Mobile CG	24	
STR_PLMN_NAME_278	26642	VIP Mobile	22	
STR_PLMN_NAME_279	26643	Orange SK	20	
STR_PLMN_NAME_280	26644	T-Mobile SK	24	
STR_PLMN_NAME_281	26645	O2 SK	12	
STR_PLMN_NAME_282	26646	Si.mobil	18	
STR_PLMN_NAME_283	26647	T-2	8	
STR_PLMN_NAME_284	26648	Tuamobil	18	
STR_PLMN_NAME_285	26649	vodafone ES	24	
STR_PLMN_NAME_286	26650	Yoigo	12	
STR_PLMN_NAME_287	26651	movistar	18	
STR_PLMN_NAME_288	26652	TELIA SE	18	
STR_PLMN_NAME_289	26653	3 SE	10	
STR_PLMN_NAME_290	26654	Sweden	14	
STR_PLMN_NAME_291	26655	Sweden 3G	20	
STR_PLMN_NAME_292	26656	COMVIQ SE	20	
STR_PLMN_NAME_293	26657	Telenor SE	22	
STR_PLMN_NAME_294	26658	SpringMobil SE	30	
STR_PLMN_NAME_295	26659	Swisscom	18	
STR_PLMN_NAME_296	26660	Sunrise	16	
STR_PLMN_NAME_297	26661	In&Phone	18	
STR_PLMN_NAME_298	26662	UMC	8	
STR_PLMN_NAME_299	26663	Kyivstar	18	
STR_PLMN_NAME_300	26664	Uni	8	
STR_PLMN_NAME_301	26665	life:)	14	
STR_PLMN_NAME_302	26666	Utel	10	
STR_PLMN_NAME_303	26667	UK01	10	
STR_PLMN_NAME_304	26668	O2 UK	12	
STR_PLMN_NAME_305	26669	Vodafone UK	24	
STR_PLMN_NAME_306	26670	3 UK	10	
STR_PLMN_NAME_307	26671	T-Mobile UK	24	
STR_PLMN_NAME_308	26672	Beeline UZ	22	
STR_PLMN_NAME_309	26673	UZB Ucell	20	
STR_PLMN_NAME_310	26674	UZB MTS	16	
STR_PLMN_NAME_311	26675	MTS TM	14	
STR_PLMN_NAME_312	26676	APUA	10	
STR_PLMN_NAME_313	26677	bMobile	16	
STR_PLMN_NAME_314	26678	Digicel	16	
STR_PLMN_NAME_315	26679	Personal	18	
